FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
DUNKIN DONUTS AT JUNIUS PONDS       ,"1399 NINE FOOT ROAD,  PHELPS",04/03/2015,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,1,Seneca  County,SENECA,49-AA45   ,1399 NINE FOOT ROAD,PHELPS,14532    ,495200,JUNIUS,DUNKIN DONUTS AT JUNIUS PONDS,04/30/2016,Food Service Establishment,Restaurant,,,RESTAURANT INC.,HMS HOST FAMILY,308136,Inspection,"facility was well organized.  Walk-in cooler and freezer very clean.
ADM-2 IN FILE",NY,42.958219,-76.924765
RIVERSIDE PIZZA                     ,"3169 ROUTE 9W,  SAUGERTIES",09/27/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,11,Ulster County,ULSTER,55-64023  ,3169 ROUTE 9W  ,SAUGERTIES,12477    ,556400,SAUGERTIES,RIVERSIDE PIZZA,02/28/2017,Food Service Establishment,Food Service Establishment,,"MEL-MIKE RESTAURANT, INC.",SANTORO,MICHAEL,316247,Inspection,,NY,42.05996,-73.95265
SPORTSMAN'S ALAMO CANTINA           ,"70  MAIN STREET,  PHOENICIA",06/05/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Ulster County,ULSTER,55-65031  ,70  MAIN STREET,PHOENICIA,12464    ,556500,SHANDAKEN,SPORTSMAN'S ALAMO CANTINA,02/28/2017,Food Service Establishment,Food Service Establishment,,"SPORTSMAN'S ALAMO CANTINA, LTD",RICCIARDELLA,MIKE,316484,Inspection,,NY,42.083301,-74.31358
KYOTO SUSHI                         ,"337 WASHINGTON AVENUE,  KINGSTON",09/17/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,5,Ulster County,ULSTER,55-01072  ,337 WASHINGTON AVENUE,KINGSTON,12401    ,550100,KINGSTON,KYOTO SUSHI,02/28/2017,Food Service Establishment,Food Service Establishment,,"J & R EAGLE, INC.",DOLKAR,RINCHEN,875906,Inspection,,NY,41.933222,-74.024397
"DOMINICK'S FAMILY RESTAURANT, INC.  ","104 CENTER STREET,  ELLENVILLE",01/22/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Ulster County,ULSTER,55-68053  ,104 CENTER STREET,ELLENVILLE,12428    ,556800,WAWARSING,"DOMINICK'S FAMILY RESTAURANT, INC. ",02/28/2017,Food Service Establishment,Food Service Establishment,,,DISANTO,RAFFAELE,455874,Inspection,,NY,41.715158,-74.392251
NEW PALTZ HIGH SCHOOL               ,"SOUTH PUTT CORNERS ROAD,  NEW PALTZ",10/05/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Ulster County,ULSTER,55-9183   , SOUTH PUTT CORNERS ROAD,NEW PALTZ,12561    ,555900,NEW PALTZ,NEW PALTZ HIGH SCHOOL,08/31/2016,Institutional Food Service,School K-12 Food Service,,NEW PALTZ CENTRAL SCHOOL DISTRICT,ROBINSON,MICHAEL,316849,Inspection,,NY,41.741665,-74.067305
NEW PALTZ HIGH SCHOOL               ,"SOUTH PUTT CORNERS ROAD,  NEW PALTZ",03/14/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,1,Ulster County,ULSTER,55-9183   , SOUTH PUTT CORNERS ROAD,NEW PALTZ,12561    ,555900,NEW PALTZ,NEW PALTZ HIGH SCHOOL,08/31/2016,Institutional Food Service,School K-12 Food Service,,NEW PALTZ CENTRAL SCHOOL DISTRICT,ROBINSON,MICHAEL,316849,Inspection,,NY,41.741665,-74.067305
FIVE GUYS BURGER & FRIES            ,"1202 ULSTER AVENUE,  KINGSTON",01/12/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Ulster County,ULSTER,55-67095  ,1202 ULSTER AVENUE,KINGSTON,12401    ,556700,ULSTER,FIVE GUYS BURGER & FRIES,02/28/2017,Food Service Establishment,Food Service Establishment,,"FOUR COUSINS BURGERS & FRIES OF NY, LLC",GELLERT,WILLIAM,683850,Inspection,,NY,41.965575,-73.989243
"DOMINICK'S FAMILY RESTAURANT, INC.  ","104 CENTER STREET,  ELLENVILLE",03/29/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Ulster County,ULSTER,55-68053  ,104 CENTER STREET,ELLENVILLE,12428    ,556800,WAWARSING,"DOMINICK'S FAMILY RESTAURANT, INC. ",02/28/2017,Food Service Establishment,Food Service Establishment,,,DISANTO,RAFFAELE,455874,Inspection,,NY,41.715158,-74.392251
CHESTER HEIGHTS PASTRY              ,"490-494 NEW ROCHELLE ROAD,  BRONXVILLE",01/12/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,4,Westchester County,WESTCHESTER,06-0566-B ,490-494 NEW ROCHELLE ROAD,BRONXVILLE,10708    ,592200,EASTCHESTER,CHESTER HEIGHTS PASTRY,10/31/2016,Food Service Establishment,Bakery,,BUMBLEBEES BAKERY LLC,BUMBLEBEES BAKERY LLC, ,533965,Inspection,,NY,40.928898,-73.809206
FRATELLI FOOD CORP.                 ,"237 EAST MAIN STREET,  NEW ROCHELLE",10/10/2007,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-F076-A ,237 EAST MAIN STREET,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,FRATELLI FOOD CORP.,08/31/2016,Food Service Establishment,Food Service Establishment,FRATELLI PIZZA & PASTA,FRATELLI FOOD CORP.,FRATELLI FOOD CORP., ,446692,Inspection,,NY,40.914658,-73.772405
BAR-B-Q RIB HOUSE                   ,"529 GRAMATAN AVENUE,  MOUNT VERNON",11/19/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,2,Westchester County,WESTCHESTER,01-K970-A ,529 GRAMATAN AVENUE,MOUNT VERNON,10552    ,590301,MT. VERNON,BAR-B-Q RIB HOUSE,07/31/2016,Food Service Establishment,Food Service Establishment,,"NYC VISIONS, INC.","NYC VISIONS, INC.", ,675012,Inspection,,NY,40.925312,-73.835921
AN AMERICAN BISTRO                  ,"296 COLUMBUS AVENUE,  TUCKAHOE",12/11/2008,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-H257-A ,296 COLUMBUS AVENUE,TUCKAHOE,10707    ,592300,E. CHESTER,AN AMERICAN BISTRO,10/31/2016,Food Service Establishment,Food Service Establishment,AN AMERICAN BISTRO,TWO AMERICANS INC.,TWO AMERICANS INC., ,466353,Inspection,,NY,40.958515,-73.820994
FRATELLI FOOD CORP.                 ,"237 EAST MAIN STREET,  NEW ROCHELLE",07/28/2009,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-F076-A ,237 EAST MAIN STREET,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,FRATELLI FOOD CORP.,08/31/2016,Food Service Establishment,Food Service Establishment,FRATELLI PIZZA & PASTA,FRATELLI FOOD CORP.,FRATELLI FOOD CORP., ,446692,Inspection,,NY,40.914658,-73.772405
AN AMERICAN BISTRO                  ,"296 COLUMBUS AVENUE,  TUCKAHOE",11/19/2010,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Westchester County,WESTCHESTER,01-H257-A ,296 COLUMBUS AVENUE,TUCKAHOE,10707    ,592300,E. CHESTER,AN AMERICAN BISTRO,10/31/2016,Food Service Establishment,Food Service Establishment,AN AMERICAN BISTRO,TWO AMERICANS INC.,TWO AMERICANS INC., ,466353,Inspection,,NY,40.958515,-73.820994
TRES CHAVES RESTAURANT BAR          ,"44 ORCHARD STREET,  YONKERS",03/30/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,1,0,5,Westchester County,WESTCHESTER,01-G323-A ,44 ORCHARD STREET,YONKERS,10703    ,590707,YONKERS,TRES CHAVES RESTAURANT BAR,10/31/2016,Food Service Establishment,Food Service Establishment,TRES CHAVES RESTAURNT BAR,"TRES CHAVES RESTAURANT BAR, INC.",CHAVES,MANUEL,460770,Inspection,,NY,40.941062,-73.886334
WINDWARD SCHOOL / COMPASS           ,"RED OAK LANE,  WHITE PLAINS",02/16/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,1,Westchester County,WESTCHESTER,02-7683-A , RED OAK LANE,WHITE PLAINS,10605    ,590203,WHITE PLAINS,WINDWARD SCHOOL / COMPASS,08/31/2016,Institutional Food Service,School K-12 Food Service,,"COMPASS GROUP USA, INC.","COMPASS GROUP USA, INC.", ,498441,Inspection,,NY,41.016345,-73.7235
SAMMY'S NY BAGELS                   ,"110 CENTRE AVENUE,  NEW ROCHELLE",06/14/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,06-0538   ,110 CENTRE AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,SAMMY'S NY BAGELS,05/31/2016,Food Service Establishment,Bakery,SAMMYS NY BAGELS,"ROCHELLE DISTRIBUTORS, INC.","ROCHELLE DISTRIBUTORS, INC.", ,481461,Re-Inspection,,NY,40.90732,-73.78391
73 SUSHI NIJI                       ,"73 MAIN STREET,  DOBBS FERRY",08/31/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-J696-A ,73 MAIN STREET,DOBBS FERRY,10522    ,592500,GREENBURGH,73 SUSHI NIJI,05/31/2016,Food Service Establishment,Food Service Establishment,,73 SUSHI NIJI INC.,CHEN,JIN LI,526589,Inspection,,NY,41.01336,-73.876745
SALSA & SOUL                        ,"23 MOUNT VERNON AVENUE,  MOUNT VERNON",12/20/2011,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Westchester County,WESTCHESTER,01-M398-A ,23 MOUNT VERNON AVENUE,MOUNT VERNON,10550    ,590301,MT. VERNON,SALSA & SOUL,07/31/2016,Food Service Establishment,Catering Operation,,"SALSA & SOUL, LTD.","SALSA & SOUL, LTD.", ,714933,Inspection,,NY,40.911034,-73.844972
DUNKIN DONUTS                       ,"433 RIVERDALE AVENUE,  YONKERS",02/23/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-M487-B ,433 RIVERDALE AVENUE,YONKERS,10705    ,590707,YONKERS,DUNKIN DONUTS,11/30/2016,Food Service Establishment,Food Service Establishment,,FAC WEST DONUTS LLC,, ,720931,Inspection,,NY,40.917359,-73.901761
TRES CHAVES RESTAURANT BAR          ,"44 ORCHARD STREET,  YONKERS",09/04/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,13,Westchester County,WESTCHESTER,01-G323-A ,44 ORCHARD STREET,YONKERS,10703    ,590707,YONKERS,TRES CHAVES RESTAURANT BAR,10/31/2016,Food Service Establishment,Food Service Establishment,TRES CHAVES RESTAURNT BAR,"TRES CHAVES RESTAURANT BAR, INC.",CHAVES,MANUEL,460770,Inspection,,NY,40.941062,-73.886334
BAR-B-Q RIB HOUSE                   ,"529 GRAMATAN AVENUE,  MOUNT VERNON",09/18/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,10,Westchester County,WESTCHESTER,01-K970-A ,529 GRAMATAN AVENUE,MOUNT VERNON,10552    ,590301,MT. VERNON,BAR-B-Q RIB HOUSE,07/31/2016,Food Service Establishment,Food Service Establishment,,"NYC VISIONS, INC.","NYC VISIONS, INC.", ,675012,Inspection,,NY,40.925312,-73.835921
GREAT WALL CHINESE RESTAURANT       ,"837 E MIDLAND AVENUE,  YONKERS",11/14/2012,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-C856-A ,837 E MIDLAND AVENUE,YONKERS,10704    ,590707,YONKERS,GREAT WALL CHINESE RESTAURANT,03/31/2016,Food Service Establishment,Food Service Establishment,,GREAT WALL OF YONKERS INC., WONG,HUNG YUNG,458529,Re-Inspection,,NY,40.935243,-73.862539
HUNAN III                           ,"6 CEDAR STREET,  BRONXVILLE",02/05/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-M181-A ,6 CEDAR STREET,BRONXVILLE,10708    ,592200,EASTCHESTER,HUNAN III,02/28/2017,Food Service Establishment,Food Service Establishment,,RED PEPPER RESTAURANT INC.,RED PEPPER RESTAURANT INC., ,694536,Inspection,,NY,40.938924,-73.833246
AN AMERICAN BISTRO                  ,"296 COLUMBUS AVENUE,  TUCKAHOE",02/06/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-H257-A ,296 COLUMBUS AVENUE,TUCKAHOE,10707    ,592300,E. CHESTER,AN AMERICAN BISTRO,10/31/2016,Food Service Establishment,Food Service Establishment,AN AMERICAN BISTRO,TWO AMERICANS INC.,TWO AMERICANS INC., ,466353,Re-Inspection,,NY,40.958515,-73.820994
CHESTER HEIGHTS PASTRY              ,"490-494 NEW ROCHELLE ROAD,  BRONXVILLE",06/25/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,06-0566-B ,490-494 NEW ROCHELLE ROAD,BRONXVILLE,10708    ,592200,EASTCHESTER,CHESTER HEIGHTS PASTRY,10/31/2016,Food Service Establishment,Bakery,,BUMBLEBEES BAKERY LLC,BUMBLEBEES BAKERY LLC, ,533965,Re-Inspection,,NY,40.928898,-73.809206
SALSA & SOUL                        ,"23 MOUNT VERNON AVENUE,  MOUNT VERNON",11/25/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,13,Westchester County,WESTCHESTER,01-M398-A ,23 MOUNT VERNON AVENUE,MOUNT VERNON,10550    ,590301,MT. VERNON,SALSA & SOUL,07/31/2016,Food Service Establishment,Catering Operation,,"SALSA & SOUL, LTD.","SALSA & SOUL, LTD.", ,714933,Inspection,,NY,40.911034,-73.844972
GREAT WALL CHINESE RESTAURANT       ,"837 E MIDLAND AVENUE,  YONKERS",10/31/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,13,Westchester County,WESTCHESTER,01-C856-A ,837 E MIDLAND AVENUE,YONKERS,10704    ,590707,YONKERS,GREAT WALL CHINESE RESTAURANT,03/31/2016,Food Service Establishment,Food Service Establishment,,GREAT WALL OF YONKERS INC., WONG,HUNG YUNG,458529,Inspection,,NY,40.935243,-73.862539
GREAT WALL CHINESE RESTAURANT       ,"837 E MIDLAND AVENUE,  YONKERS",12/04/2013,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,9,Westchester County,WESTCHESTER,01-C856-A ,837 E MIDLAND AVENUE,YONKERS,10704    ,590707,YONKERS,GREAT WALL CHINESE RESTAURANT,03/31/2016,Food Service Establishment,Food Service Establishment,,GREAT WALL OF YONKERS INC., WONG,HUNG YUNG,458529,Re-Inspection,,NY,40.935243,-73.862539
SINAPI'S PIZZA RUSTICA              ,"5 NORM AVENUE,  BEDFORD HILLS",01/15/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-N088-B ,5 NORM AVENUE,BEDFORD HILLS,10507    ,595000,BEDFORD,SINAPI'S PIZZA RUSTICA,05/31/2016,Food Service Establishment,Food Service Establishment,,"NORM AVENUE PIZZA, INC.","NORM AVENUE PIZZA, INC.", ,770770,Inspection,,NY,41.223388,-73.715244
KENNEDY FRIED CHICKEN               ,"363 SOUTH BROADWAY,  YONKERS",03/10/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,13,Westchester County,WESTCHESTER,01-N692-A ,363 SOUTH BROADWAY  ,YONKERS,10705    ,590707,YONKERS,KENNEDY FRIED CHICKEN,09/30/2016,Food Service Establishment,Food Service Establishment,,D & N U.S. FOOD LLC, , ,821259,Inspection,,NY,,
73 SUSHI NIJI                       ,"73 MAIN STREET,  DOBBS FERRY",01/29/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,01-J696-A ,73 MAIN STREET,DOBBS FERRY,10522    ,592500,GREENBURGH,73 SUSHI NIJI,05/31/2016,Food Service Establishment,Food Service Establishment,,73 SUSHI NIJI INC.,CHEN,JIN LI,526589,Inspection,,NY,41.01336,-73.876745
SALSA & SOUL                        ,"23 MOUNT VERNON AVENUE,  MOUNT VERNON",05/22/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-M398-A ,23 MOUNT VERNON AVENUE,MOUNT VERNON,10550    ,590301,MT. VERNON,SALSA & SOUL,07/31/2016,Food Service Establishment,Catering Operation,,"SALSA & SOUL, LTD.","SALSA & SOUL, LTD.", ,714933,Re-Inspection,,NY,40.911034,-73.844972
SALSA & SOUL                        ,"23 MOUNT VERNON AVENUE,  MOUNT VERNON",04/08/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,11,Westchester County,WESTCHESTER,01-M398-A ,23 MOUNT VERNON AVENUE,MOUNT VERNON,10550    ,590301,MT. VERNON,SALSA & SOUL,07/31/2016,Food Service Establishment,Catering Operation,,"SALSA & SOUL, LTD.","SALSA & SOUL, LTD.", ,714933,Inspection,,NY,40.911034,-73.844972
CHESTER HEIGHTS PASTRY              ,"490-494 NEW ROCHELLE ROAD,  BRONXVILLE",05/02/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,06-0566-B ,490-494 NEW ROCHELLE ROAD,BRONXVILLE,10708    ,592200,EASTCHESTER,CHESTER HEIGHTS PASTRY,10/31/2016,Food Service Establishment,Bakery,,BUMBLEBEES BAKERY LLC,BUMBLEBEES BAKERY LLC, ,533965,Re-Inspection,,NY,40.928898,-73.809206
HUNAN III                           ,"6 CEDAR STREET,  BRONXVILLE",09/29/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,7,Westchester County,WESTCHESTER,01-M181-A ,6 CEDAR STREET,BRONXVILLE,10708    ,592200,EASTCHESTER,HUNAN III,02/28/2017,Food Service Establishment,Food Service Establishment,,RED PEPPER RESTAURANT INC.,RED PEPPER RESTAURANT INC., ,694536,Inspection,,NY,40.938924,-73.833246
KENNEDY FRIED CHICKEN               ,"363 SOUTH BROADWAY,  YONKERS",09/29/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,2,8,Westchester County,WESTCHESTER,01-N692-A ,363 SOUTH BROADWAY  ,YONKERS,10705    ,590707,YONKERS,KENNEDY FRIED CHICKEN,09/30/2016,Food Service Establishment,Food Service Establishment,,D & N U.S. FOOD LLC, , ,821259,Inspection,,NY,,
HUNAN III                           ,"6 CEDAR STREET,  BRONXVILLE",11/05/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,2,0,7,Westchester County,WESTCHESTER,01-M181-A ,6 CEDAR STREET,BRONXVILLE,10708    ,592200,EASTCHESTER,HUNAN III,02/28/2017,Food Service Establishment,Food Service Establishment,,RED PEPPER RESTAURANT INC.,RED PEPPER RESTAURANT INC., ,694536,Re-Inspection,,NY,40.938924,-73.833246
GREAT WALL CHINESE RESTAURANT       ,"837 E MIDLAND AVENUE,  YONKERS",12/02/2014,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,5,5,9,Westchester County,WESTCHESTER,01-C856-A ,837 E MIDLAND AVENUE,YONKERS,10704    ,590707,YONKERS,GREAT WALL CHINESE RESTAURANT,03/31/2016,Food Service Establishment,Food Service Establishment,,GREAT WALL OF YONKERS INC., WONG,HUNG YUNG,458529,Inspection,,NY,40.935243,-73.862539
